date,team,opponent,goals_for,goals_against,goal_diff,result,tournament,neutral,outcome,win,tournament_weight,team_elo,opponent_elo,elo_diff,rolling_goal_diff_5,rolling_win_rate_5,ewa_win_rate,ewa_goal_diff,opp_elo_strength_5,win_vs_strong,rolling_win_vs_strong_5,rolling_goal_diff_std_5,rolling_win_rate_std_5,days_since_last_match,ewa_win_rate_momentum,ewa_goal_diff_momentum
2008-01-30,Egypt,Zambia,1,1,0,0,African Nations Cup,True,1,0,3.0,1681.0,1557.0,124.0,1.8,0.8,0.8293838862559241,2.004739336492891,1514.4,0.0,0.6666666666666666,1.3038404810405297,0.4472135954999579,4.0,,
2008-01-30,Zambia,Egypt,1,1,0,0,African Nations Cup,True,1,0,3.0,1557.0,1681.0,-124.0,-0.6,0.4,0.33175355450236965,-1.1469194312796207,1617.0,0.0,0.25,2.701851217221259,0.5477225575051661,4.0,,
2008-02-04,Angola,Egypt,1,2,-1,-1,African Nations Cup,True,0,0,3.0,1541.0,1681.0,-140.0,0.2,0.2,0.2559241706161137,0.3981042654028435,1618.8,0.0,0.25,1.0954451150103324,0.4472135954999579,4.0,,
2008-02-04,Egypt,Angola,2,1,1,1,African Nations Cup,True,2,1,3.0,1681.0,1541.0,140.0,1.2,0.6,0.5263157894736843,1.2721804511278199,1570.4,1.0,0.5,1.3038404810405297,0.5477225575051661,5.0,,
2008-02-04,Tunisia,Cameroon,2,3,-1,-1,African Nations Cup,True,0,0,3.0,1633.0,1735.0,-102.0,0.4,0.4,0.3696682464454977,0.5497630331753555,1556.8,0.0,0.25,1.140175425099138,0.5477225575051661,4.0,,
2008-02-06,Kuwait,United Arab Emirates,0,2,-2,-1,World Cup qualifier,False,0,0,4.0,1457.0,1436.0,21.0,-0.8,0.2,0.07582938388625594,-0.8341232227488151,1506.6,,0.0,1.3038404810405297,0.447213595499958,7.0,,
2008-02-07,Egypt,Ivory Coast,4,1,3,1,African Nations Cup,True,2,1,3.0,1754.0,1745.0,9.0,1.2,0.6,0.6940262263234581,1.1758135016998545,1561.4,1.0,0.5,1.3038404810405297,0.5477225575051661,3.0,,
2008-02-07,Ivory Coast,Egypt,1,4,-3,-1,African Nations Cup,True,0,0,3.0,1745.0,1754.0,-9.0,2.8,1.0,1.0,3.4644549763033177,1554.2,0.0,1.0,1.4832396974191326,0.0,4.0,,
2008-02-09,Ghana,Ivory Coast,4,2,2,1,African Nations Cup,False,2,1,3.0,1753.0,1745.0,8.0,0.8,0.8,0.6161137440758294,0.40284360189573476,1605.8,1.0,0.75,1.0954451150103321,0.4472135954999579,2.0,,
2008-02-09,Ivory Coast,Ghana,2,4,-2,-1,African Nations Cup,False,0,0,3.0,1745.0,1753.0,-8.0,1.8,0.8,0.6345864661654137,1.102255639097745,1613.6,0.0,0.75,3.03315017762062,0.4472135954999579,2.0,,
