tag,tournament,gated_model,threshold_pct,n_matches,coverage,accuracy,window,elo_mode,reproducible,commit,generated_utc
wc_2018,2018 World Cup,GlobalGHMM+Draw,40,58,0.9062,0.5862,3,dynamic,True,cab4111-dirty,2026-08-13T09:28:59+00:00
wc_2018,2018 World Cup,GlobalGHMM+Draw,45,48,0.75,0.6042,3,dynamic,True,cab4111-dirty,2026-08-13T09:28:59+00:00
wc_2018,2018 World Cup,GlobalGHMM+Draw,50,34,0.5312,0.6176,3,dynamic,True,cab4111-dirty,2026-08-13T09:28:59+00:00
wc_2018,2018 World Cup,GlobalGHMM+Draw,55,25,0.3906,0.64,3,dynamic,True,cab4111-dirty,2026-08-13T09:28:59+00:00
wc_2018,2018 World Cup,GlobalGHMM+Draw,60,20,0.3125,0.75,3,dynamic,True,cab4111-dirty,2026-08-13T09:28:59+00:00
wc_2022,2022 World Cup,GlobalGHMM+Draw,40,55,0.8594,0.5818,3,dynamic,True,cab4111-dirty,2026-08-13T09:28:59+00:00
wc_2022,2022 World Cup,GlobalGHMM+Draw,45,50,0.7812,0.58,3,dynamic,True,cab4111-dirty,2026-08-13T09:28:59+00:00
wc_2022,2022 World Cup,GlobalGHMM+Draw,50,41,0.6406,0.5854,3,dynamic,True,cab4111-dirty,2026-08-13T09:28:59+00:00
wc_2022,2022 World Cup,GlobalGHMM+Draw,55,33,0.5156,0.6061,3,dynamic,True,cab4111-dirty,2026-08-13T09:28:59+00:00
wc_2022,2022 World Cup,GlobalGHMM+Draw,60,27,0.4219,0.6667,3,dynamic,True,cab4111-dirty,2026-08-13T09:28:59+00:00
euro_2024,UEFA Euro 2024,GlobalGHMM+Draw,40,40,0.7843,0.55,3,dynamic,True,cab4111-dirty,2026-08-13T09:28:59+00:00
euro_2024,UEFA Euro 2024,GlobalGHMM+Draw,45,34,0.6667,0.5294,3,dynamic,True,cab4111-dirty,2026-08-13T09:28:59+00:00
euro_2024,UEFA Euro 2024,GlobalGHMM+Draw,50,26,0.5098,0.5769,3,dynamic,True,cab4111-dirty,2026-08-13T09:28:59+00:00
euro_2024,UEFA Euro 2024,GlobalGHMM+Draw,55,21,0.4118,0.619,3,dynamic,True,cab4111-dirty,2026-08-13T09:28:59+00:00
euro_2024,UEFA Euro 2024,GlobalGHMM+Draw,60,19,0.3725,0.5789,3,dynamic,True,cab4111-dirty,2026-08-13T09:28:59+00:00
copa_2024,Copa América 2024,GlobalGHMM+Draw,40,32,1.0,0.5938,3,dynamic,True,cab4111-dirty,2026-08-13T09:28:59+00:00
copa_2024,Copa América 2024,GlobalGHMM+Draw,45,32,1.0,0.5938,3,dynamic,True,cab4111-dirty,2026-08-13T09:28:59+00:00
copa_2024,Copa América 2024,GlobalGHMM+Draw,50,28,0.875,0.6071,3,dynamic,True,cab4111-dirty,2026-08-13T09:28:59+00:00
copa_2024,Copa América 2024,GlobalGHMM+Draw,55,22,0.6875,0.7727,3,dynamic,True,cab4111-dirty,2026-08-13T09:28:59+00:00
copa_2024,Copa América 2024,GlobalGHMM+Draw,60,21,0.6562,0.8095,3,dynamic,True,cab4111-dirty,2026-08-13T09:28:59+00:00
