window,tournament,threshold_pct,n_matches,coverage,accuracy
1,2018 World Cup,40,42,0.8571,0.5714
1,2018 World Cup,45,33,0.6735,0.5758
1,2018 World Cup,50,26,0.5306,0.6538
1,2018 World Cup,55,21,0.4286,0.6667
1,2018 World Cup,60,12,0.2449,0.75
1,2022 World Cup,40,42,0.875,0.5238
1,2022 World Cup,45,37,0.7708,0.5405
1,2022 World Cup,50,28,0.5833,0.4643
1,2022 World Cup,55,21,0.4375,0.4762
1,2022 World Cup,60,13,0.2708,0.3846
1,2024 Internationals,40,127,0.7937,0.4882
1,2024 Internationals,45,99,0.6188,0.5051
1,2024 Internationals,50,72,0.45,0.5417
1,2024 Internationals,55,47,0.2938,0.5957
1,2024 Internationals,60,27,0.1688,0.5926
2,2018 World Cup,40,45,0.9184,0.6
2,2018 World Cup,45,35,0.7143,0.6286
2,2018 World Cup,50,29,0.5918,0.6552
2,2018 World Cup,55,20,0.4082,0.75
2,2018 World Cup,60,16,0.3265,0.8125
2,2022 World Cup,40,42,0.875,0.5238
2,2022 World Cup,45,37,0.7708,0.5405
2,2022 World Cup,50,29,0.6042,0.5172
2,2022 World Cup,55,23,0.4792,0.4783
2,2022 World Cup,60,15,0.3125,0.4667
2,2024 Internationals,40,132,0.825,0.4924
2,2024 Internationals,45,98,0.6125,0.5102
2,2024 Internationals,50,76,0.475,0.5526
2,2024 Internationals,55,49,0.3063,0.551
2,2024 Internationals,60,26,0.1625,0.5769
5,2018 World Cup,40,44,0.898,0.5909
5,2018 World Cup,45,37,0.7551,0.6216
5,2018 World Cup,50,27,0.551,0.6667
5,2018 World Cup,55,21,0.4286,0.8095
5,2018 World Cup,60,13,0.2653,0.7692
5,2022 World Cup,40,43,0.8958,0.5349
5,2022 World Cup,45,36,0.75,0.5833
5,2022 World Cup,50,30,0.625,0.5667
5,2022 World Cup,55,24,0.5,0.4583
5,2022 World Cup,60,18,0.375,0.5
5,2024 Internationals,40,135,0.8438,0.5037
5,2024 Internationals,45,97,0.6063,0.5052
5,2024 Internationals,50,72,0.45,0.5417
5,2024 Internationals,55,48,0.3,0.5417
5,2024 Internationals,60,26,0.1625,0.5385
7,2018 World Cup,40,44,0.898,0.5909
7,2018 World Cup,45,37,0.7551,0.6216
7,2018 World Cup,50,27,0.551,0.6667
7,2018 World Cup,55,21,0.4286,0.8095
7,2018 World Cup,60,13,0.2653,0.7692
7,2022 World Cup,40,43,0.8958,0.5349
7,2022 World Cup,45,36,0.75,0.5833
7,2022 World Cup,50,30,0.625,0.5667
7,2022 World Cup,55,23,0.4792,0.4348
7,2022 World Cup,60,17,0.3542,0.5294
7,2024 Internationals,40,136,0.85,0.5
7,2024 Internationals,45,100,0.625,0.51
7,2024 Internationals,50,72,0.45,0.5556
7,2024 Internationals,55,49,0.3063,0.551
7,2024 Internationals,60,30,0.1875,0.5667
10,2018 World Cup,40,44,0.898,0.5909
10,2018 World Cup,45,37,0.7551,0.6216
10,2018 World Cup,50,27,0.551,0.6667
10,2018 World Cup,55,21,0.4286,0.8095
10,2018 World Cup,60,13,0.2653,0.7692
10,2022 World Cup,40,43,0.8958,0.5349
10,2022 World Cup,45,37,0.7708,0.5946
10,2022 World Cup,50,29,0.6042,0.5517
10,2022 World Cup,55,23,0.4792,0.4348
10,2022 World Cup,60,16,0.3333,0.5625
10,2024 Internationals,40,135,0.8438,0.4963
10,2024 Internationals,45,98,0.6125,0.5102
10,2024 Internationals,50,75,0.4688,0.5467
10,2024 Internationals,55,52,0.325,0.5769
10,2024 Internationals,60,30,0.1875,0.5667
15,2018 World Cup,40,44,0.898,0.5909
15,2018 World Cup,45,37,0.7551,0.6216
15,2018 World Cup,50,27,0.551,0.6667
15,2018 World Cup,55,21,0.4286,0.8095
15,2018 World Cup,60,13,0.2653,0.7692
15,2022 World Cup,40,43,0.8958,0.5349
15,2022 World Cup,45,37,0.7708,0.5946
15,2022 World Cup,50,29,0.6042,0.5517
15,2022 World Cup,55,24,0.5,0.4583
15,2022 World Cup,60,17,0.3542,0.5294
15,2024 Internationals,40,135,0.8438,0.5037
15,2024 Internationals,45,98,0.6125,0.5102
15,2024 Internationals,50,75,0.4688,0.5467
15,2024 Internationals,55,51,0.3188,0.5882
15,2024 Internationals,60,30,0.1875,0.5667
20,2018 World Cup,40,44,0.898,0.5909
20,2018 World Cup,45,37,0.7551,0.6216
20,2018 World Cup,50,27,0.551,0.6667
20,2018 World Cup,55,20,0.4082,0.8
20,2018 World Cup,60,14,0.2857,0.7857
20,2022 World Cup,40,43,0.8958,0.5349
20,2022 World Cup,45,36,0.75,0.5833
20,2022 World Cup,50,30,0.625,0.5667
20,2022 World Cup,55,24,0.5,0.4583
20,2022 World Cup,60,16,0.3333,0.5625
20,2024 Internationals,40,134,0.8375,0.5075
20,2024 Internationals,45,98,0.6125,0.5102
20,2024 Internationals,50,74,0.4625,0.5405
20,2024 Internationals,55,52,0.325,0.5769
20,2024 Internationals,60,30,0.1875,0.5667
25,2018 World Cup,40,44,0.898,0.5909
25,2018 World Cup,45,37,0.7551,0.6216
25,2018 World Cup,50,27,0.551,0.6667
25,2018 World Cup,55,21,0.4286,0.8095
25,2018 World Cup,60,13,0.2653,0.7692
25,2022 World Cup,40,43,0.8958,0.5349
25,2022 World Cup,45,37,0.7708,0.5946
25,2022 World Cup,50,30,0.625,0.5667
25,2022 World Cup,55,24,0.5,0.4583
25,2022 World Cup,60,17,0.3542,0.5294
25,2024 Internationals,40,134,0.8375,0.4925
25,2024 Internationals,45,97,0.6063,0.5052
25,2024 Internationals,50,75,0.4688,0.5467
25,2024 Internationals,55,51,0.3188,0.5882
25,2024 Internationals,60,30,0.1875,0.5667
