tournament,threshold_pct,n_matches,coverage,accuracy
2018 World Cup,40,44,0.898,0.5909
2018 World Cup,45,37,0.7551,0.6216
2018 World Cup,50,27,0.551,0.6667
2018 World Cup,55,20,0.4082,0.8
2018 World Cup,60,14,0.2857,0.7857
2022 World Cup,40,43,0.8958,0.5349
2022 World Cup,45,36,0.75,0.5833
2022 World Cup,50,30,0.625,0.5667
2022 World Cup,55,24,0.5,0.4583
2022 World Cup,60,16,0.3333,0.5625
2024 Internationals,40,134,0.8375,0.5075
2024 Internationals,45,98,0.6125,0.5102
2024 Internationals,50,74,0.4625,0.5405
2024 Internationals,55,52,0.325,0.5769
2024 Internationals,60,30,0.1875,0.5667
