tag,tournament,subset,model,n,log_loss,brier,accuracy,rps,window,elo_mode,reproducible,commit,generated_utc
wc_2018,2018 World Cup,All Matches,GlobalGHMM,64,0.967,0.5758,0.5625,0.2063,3,dynamic,True,cab4111-dirty,2026-08-13T09:28:59+00:00
wc_2018,2018 World Cup,All Matches,GlobalGHMM+Draw,64,0.9669,0.5757,0.5625,0.2063,3,dynamic,True,cab4111-dirty,2026-08-13T09:28:59+00:00
wc_2018,2018 World Cup,All Matches,XGBoost,64,0.9573,0.5662,0.5781,0.199,3,dynamic,True,cab4111-dirty,2026-08-13T09:28:59+00:00
wc_2018,2018 World Cup,All Matches,Random Forest,64,0.9858,0.5871,0.5469,0.2096,3,dynamic,True,cab4111-dirty,2026-08-13T09:28:59+00:00
wc_2018,2018 World Cup,All Matches,Elo,64,0.9712,0.5767,0.5625,0.2051,3,dynamic,True,cab4111-dirty,2026-08-13T09:28:59+00:00
wc_2018,2018 World Cup,All Matches,Uniform,64,1.0986,0.6667,0.3906,0.2439,3,dynamic,True,cab4111-dirty,2026-08-13T09:28:59+00:00
wc_2018,2018 World Cup,W/L Only,GlobalGHMM,51,0.5768,0.391,0.7059,0.1955,3,dynamic,True,cab4111-dirty,2026-08-13T09:28:59+00:00
wc_2018,2018 World Cup,W/L Only,GlobalGHMM+Draw,51,0.5768,0.391,0.7059,0.1955,3,dynamic,True,cab4111-dirty,2026-08-13T09:28:59+00:00
wc_2018,2018 World Cup,W/L Only,XGBoost,51,0.5493,0.367,0.7255,0.1835,3,dynamic,True,cab4111-dirty,2026-08-13T09:28:59+00:00
wc_2018,2018 World Cup,W/L Only,Random Forest,51,0.5848,0.3998,0.7059,0.1999,3,dynamic,True,cab4111-dirty,2026-08-13T09:28:59+00:00
wc_2018,2018 World Cup,W/L Only,Elo,51,0.5693,0.3842,0.7059,0.1921,3,dynamic,True,cab4111-dirty,2026-08-13T09:28:59+00:00
wc_2018,2018 World Cup,W/L Only,Uniform,51,0.6931,0.5,0.4902,0.25,3,dynamic,True,cab4111-dirty,2026-08-13T09:28:59+00:00
