tournament,state_id,ewa_win_rate,ewa_goal_diff,rolling_win_vs_strong_5,rolling_goal_diff_std_5,rolling_win_rate_std_5,ewa_win_rate_momentum,ewa_goal_diff_momentum,window,commit
2018 World Cup,0,-1.7848,-1.4455,-1.517,-0.8049,-2.5214,-1.2373,-0.925,3,f5eb819
2018 World Cup,1,-0.1485,-0.1352,-0.0279,-2.0531,-2.5214,0.0019,0.001,3,f5eb819
2018 World Cup,2,1.1251,0.8926,1.1583,0.159,0.01,0.7711,0.5353,3,f5eb819
2018 World Cup,3,-0.2211,-0.2532,-0.1008,0.1607,0.579,-0.585,-0.5734,3,f5eb819
2018 World Cup,4,1.8398,1.4891,2.0286,-0.4109,-2.5214,1.3719,1.0358,3,f5eb819
2018 World Cup,5,0.3162,0.3478,0.0447,0.2894,0.579,0.6355,0.6523,3,f5eb819
2018 World Cup,6,-1.0711,-0.868,-1.0193,-0.0542,0.01,-0.7196,-0.5563,3,f5eb819
2022 World Cup,0,-1.0964,-0.873,-1.0396,-0.13,-0.0195,-0.7386,-0.5632,3,f5eb819
2022 World Cup,1,-0.592,-0.5638,-0.4152,0.1169,0.5693,-0.5337,-0.5139,3,f5eb819
2022 World Cup,2,0.8247,0.5218,0.9641,-0.5024,-0.6715,0.1719,-0.0456,3,f5eb819
2022 World Cup,3,1.4305,1.2958,1.4207,0.1487,-0.9221,1.3535,1.163,3,f5eb819
2022 World Cup,4,0.3191,0.3263,0.0067,0.2829,0.5693,0.5691,0.5647,3,f5eb819
2022 World Cup,5,-1.785,-1.4449,-1.5212,-0.933,-2.6393,-1.1145,-0.8191,3,f5eb819
2022 World Cup,6,0.2109,0.1098,0.4054,0.0683,0.5693,-0.6788,-0.6629,3,f5eb819
UEFA Euro 2024,0,-1.2786,-1.0326,-1.0303,-1.2527,-2.6572,-0.8032,-0.5733,3,f5eb819
UEFA Euro 2024,1,1.2059,1.1192,1.0862,0.3833,-0.0222,1.482,1.3119,3,f5eb819
UEFA Euro 2024,2,1.7974,1.5121,1.9847,-0.3486,-2.6572,1.2814,0.9646,3,f5eb819
UEFA Euro 2024,3,0.3108,0.3484,0.0122,0.3339,0.57,0.6215,0.6505,3,f5eb819
UEFA Euro 2024,4,1.0045,0.707,1.0944,-0.034,-0.0222,0.2755,0.0489,3,f5eb819
UEFA Euro 2024,5,-1.1046,-0.8782,-1.0347,-0.1497,-0.0222,-0.744,-0.5646,3,f5eb819
UEFA Euro 2024,6,-0.2529,-0.299,-0.129,0.0711,0.57,-0.5488,-0.5601,3,f5eb819
Copa América 2024,0,-0.1929,-0.1871,-0.0507,-2.0634,-2.6567,-0.0044,-0.0049,3,f5eb819
Copa América 2024,1,-1.1058,-0.8821,-1.0346,-0.1542,-0.0219,-0.7441,-0.5671,3,f5eb819
Copa América 2024,2,0.0005,-0.0231,-0.0622,0.1596,0.5703,-0.0162,-0.0248,3,f5eb819
Copa América 2024,3,0.7242,2.439,0.0352,3.2995,0.398,0.7031,2.3639,3,f5eb819
Copa América 2024,4,-1.8311,-1.4613,-1.524,-0.7928,-2.6567,-1.258,-0.8959,3,f5eb819
Copa América 2024,5,1.7935,1.5106,1.9841,-0.3009,-2.6567,1.3169,0.9916,3,f5eb819
Copa América 2024,6,1.0791,0.8289,1.0936,0.0798,-0.0219,0.7267,0.4907,3,f5eb819
