window,tournament,subset,log_loss,brier,accuracy,rps
1,2018 World Cup,All,0.9747,0.5812,0.5714,0.2011
1,2018 World Cup,WL,0.8456,0.4827,0.7368,0.2085
1,2022 World Cup,All,1.0993,0.6469,0.5208,0.2258
1,2022 World Cup,WL,1.0075,0.5653,0.7143,0.2502
1,2024 Internationals,All,1.0539,0.6334,0.4875,0.2022
1,2024 Internationals,WL,0.8952,0.514,0.729,0.223
2,2018 World Cup,All,0.932,0.5532,0.5918,0.1889
2,2018 World Cup,WL,0.7924,0.4465,0.7632,0.1926
2,2022 World Cup,All,1.0916,0.6478,0.5,0.2251
2,2022 World Cup,WL,0.9893,0.5591,0.6857,0.2468
2,2024 Internationals,All,1.0616,0.6382,0.4875,0.2047
2,2024 Internationals,WL,0.9071,0.5225,0.729,0.227
5,2018 World Cup,All,0.9354,0.5567,0.5918,0.1917
5,2018 World Cup,WL,0.8053,0.4554,0.7632,0.1968
5,2022 World Cup,All,1.0679,0.6306,0.5208,0.2182
5,2022 World Cup,WL,0.9653,0.5407,0.7143,0.2383
5,2024 Internationals,All,1.057,0.6356,0.4875,0.2025
5,2024 Internationals,WL,0.894,0.5134,0.729,0.2224
7,2018 World Cup,All,0.9345,0.556,0.5714,0.1913
7,2018 World Cup,WL,0.8032,0.454,0.7368,0.1963
7,2022 World Cup,All,1.07,0.6314,0.5208,0.2184
7,2022 World Cup,WL,0.9681,0.5425,0.7143,0.239
7,2024 Internationals,All,1.0613,0.6373,0.4813,0.2025
7,2024 Internationals,WL,0.8901,0.5107,0.7196,0.2214
10,2018 World Cup,All,0.9351,0.5563,0.5918,0.1915
10,2018 World Cup,WL,0.8042,0.4545,0.7632,0.1966
10,2022 World Cup,All,1.0665,0.6307,0.5208,0.2181
10,2022 World Cup,WL,0.9637,0.5408,0.7143,0.2382
10,2024 Internationals,All,1.0591,0.6358,0.475,0.2023
10,2024 Internationals,WL,0.8901,0.5103,0.7103,0.2213
15,2018 World Cup,All,0.935,0.5563,0.5918,0.1915
15,2018 World Cup,WL,0.8039,0.4545,0.7632,0.1965
15,2022 World Cup,All,1.0657,0.63,0.5208,0.2178
15,2022 World Cup,WL,0.9624,0.5399,0.7143,0.2377
15,2024 Internationals,All,1.0596,0.6363,0.4813,0.2023
15,2024 Internationals,WL,0.8903,0.5104,0.7196,0.2213
20,2018 World Cup,All,0.9347,0.5558,0.5918,0.1912
20,2018 World Cup,WL,0.8007,0.4523,0.7632,0.196
20,2022 World Cup,All,1.0653,0.6288,0.5417,0.2173
20,2022 World Cup,WL,0.9623,0.5394,0.7429,0.2376
20,2024 Internationals,All,1.0597,0.6364,0.4813,0.2025
20,2024 Internationals,WL,0.8906,0.5106,0.7196,0.2214
25,2018 World Cup,All,0.9355,0.5566,0.5918,0.1916
25,2018 World Cup,WL,0.8048,0.4551,0.7632,0.1967
25,2022 World Cup,All,1.0665,0.63,0.5208,0.2178
25,2022 World Cup,WL,0.9622,0.5397,0.7143,0.2379
25,2024 Internationals,All,1.0586,0.6357,0.4813,0.2023
25,2024 Internationals,WL,0.8914,0.5109,0.7196,0.2215
